,Unnamed: 0,Unnamed: 0.1,Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Cell_type,Center Name,chip_antibody,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,treatment,aggregate_column
26,26,26,SRR3997230,ChIP-Seq,36,1702108476,PRJNA336352,SAMN05509480,1149241256,ZR751,Breast cancer cell line,GEO,"H3K27ac (Abcam\, ab4729\, lot GR211895-1)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1997986,GSM2258741,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258741,"ZR751 cells\, H3K27ac ChIP",SRP080870,Control,H3K27ac
27,27,27,SRR3997233,ChIP-Seq,36,2277520308,PRJNA336352,SAMN05509557,1659002914,ZR751,Breast cancer cell line,GEO,"H3K36me3 (Abcam\, ab9050)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1997989,GSM2258744,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258744,"ZR751 cells\, H3K36me3 ChIP",SRP080870,Control,H3K36me3
28,28,28,SRR3997235,ChIP-Seq,36,1362043404,PRJNA336352,SAMN05509555,808901718,ZR751,Breast cancer cell line,GEO,"H3K4me1 (Abcam\, ab8895)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1997991,GSM2258746,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258746,"ZR751 cells\, H3K4me1 ChIP",SRP080870,Control,H3K4me1
29,29,29,SRR3997237,ChIP-Seq,36,1392971868,PRJNA336352,SAMN05509553,1048726339,ZR751,Breast cancer cell line,GEO,"H3K4me3 (Abcam\, ab8580)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1997993,GSM2258748,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258748,"ZR751 cells\, H3K4me3 ChIP",SRP080870,Control,H3K4me3
30,30,30,SRR3997238,ChIP-Seq,36,1401497676,PRJNA336352,SAMN05509552,1022049060,ZR751,Breast cancer cell line,GEO,"H3K4me3 (Abcam\, ab8580\, lot GR1902371-1 and GR224370-1)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1997994,GSM2258749,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258749,"ZR751 cells\, H3K4me3 ChIP",SRP080870,Control,H3K4me3
31,31,31,SRR3997241,ChIP-Seq,36,1411052760,PRJNA336352,SAMN05509549,959286176,ZR751,Breast cancer cell line,GEO,"H3K9ac (Millipore\, 07-352\, lot 2090152)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1997997,GSM2258752,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258752,"ZR751 cells\, H3K9ac ChIP",SRP080870,Control,H3K9ac
32,32,32,SRR3997243,ChIP-Seq,36,2328798960,PRJNA336352,SAMN05509547,1614775009,ZR751,Breast cancer cell line,GEO,"H3K9me3 (Abcam\, ab8898)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1997999,GSM2258754,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258754,"ZR751 cells\, H3K9me3 ChIP",SRP080870,Control,H3K9me3
33,33,33,SRR3997246,ChIP-Seq,36,1125850932,PRJNA336352,SAMN05509544,838393765,ZR751,Breast cancer cell line,GEO,none,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998002,GSM2258757,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258757,"ZR751 cells\, input",SRP080870,Control,Input
34,34,34,SRR3997247,ChIP-Seq,36,2553574932,PRJNA336352,SAMN05509543,1784445793,MB361,Breast cancer cell line,GEO,"H3K27ac (Abcam\, ab4729\, lot GR150367-3)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998003,GSM2258758,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258758,"MB361 cells\, H3K27ac ChIP",SRP080870,Control,H3K27ac
35,35,35,SRR3997249,ChIP-Seq,36,2624167620,PRJNA336352,SAMN05509541,1760089320,MB361,Breast cancer cell line,GEO,"H3K27me3 (Millipore\, 07-449)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998005,GSM2258760,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258760,"MB361 cells\, H3K27me3 ChIP",SRP080870,Control,H3K27me3
36,36,36,SRR3997251,ChIP-Seq,36,2175864624,PRJNA336352,SAMN05509539,1492633751,MB361,Breast cancer cell line,GEO,"H3K36me3 (Abcam\, ab9050)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998007,GSM2258762,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258762,"MB361 cells\, H3K36me3 ChIP",SRP080870,Control,H3K36me3
37,37,37,SRR3997253,ChIP-Seq,36,2139143184,PRJNA336352,SAMN05509537,1473949082,MB361,Breast cancer cell line,GEO,"H3K4me1 (Abcam\, ab8895)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998009,GSM2258764,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258764,"MB361 cells\, H3K4me1 ChIP",SRP080870,Control,H3K4me1
38,38,38,SRR3997255,ChIP-Seq,36,2834720028,PRJNA336352,SAMN05509535,1993877199,MB361,Breast cancer cell line,GEO,"H3K4me3 (Abcam\, ab8580)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998011,GSM2258766,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258766,"MB361 cells\, H3K4me3 ChIP",SRP080870,Control,H3K4me3
39,39,39,SRR3997258,ChIP-Seq,36,1085334696,PRJNA336352,SAMN05509532,775273113,MB361,Breast cancer cell line,GEO,"H3K79me2 (Abcam\, ab3594\, lot GR201271-1)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998014,GSM2258769,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258769,"MB361 cells\, H3K79me2 ChIP",SRP080870,Control,H3K79me2
40,40,40,SRR3997260,ChIP-Seq,36,1691190180,PRJNA336352,SAMN05509530,1131799147,MB361,Breast cancer cell line,GEO,"H3K9ac (Millipore\, 07-352\, lot 2090152)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998016,GSM2258771,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258771,"MB361 cells\, H3K9ac ChIP",SRP080870,Control,H3K9ac
41,41,41,SRR3997261,ChIP-Seq,36,1968695856,PRJNA336352,SAMN05509712,1366222361,MB361,Breast cancer cell line,GEO,"H3K9me3 (Abcam\, ab8898)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998017,GSM2258772,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258772,"MB361 cells\, H3K9me3 ChIP",SRP080870,Control,H3K9me3
42,42,42,SRR3997264,ChIP-Seq,36,1149741324,PRJNA336352,SAMN05509713,831595796,MB361,Breast cancer cell line,GEO,none,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998021,GSM2258775,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258775,"MB361 cells\, input",SRP080870,Control,Input
43,43,43,SRR3997267,ChIP-Seq,36,2585017584,PRJNA336352,SAMN05509707,1735159026,UACC812,Breast cancer cell line,GEO,"H3K27me3 (Millipore\, 07-449)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998024,GSM2258778,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258778,"UACC812 cells\, H3K27me3 ChIP",SRP080870,Control,H3K27me3
44,44,44,SRR3997268,ChIP-Seq,36,1242119628,PRJNA336352,SAMN05509706,888251290,UACC812,Breast cancer cell line,GEO,"H3K27me3 (Millipore\, 07-449\, lot 2506493)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998025,GSM2258779,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258779,"UACC812 cells\, H3K27me3 ChIP",SRP080870,Control,H3K27me3
45,45,45,SRR3997269,ChIP-Seq,36,2987726724,PRJNA336352,SAMN05509705,2126348813,UACC812,Breast cancer cell line,GEO,"H3K36me3 (Abcam\, ab9050)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998026,GSM2258780,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258780,"UACC812 cells\, H3K36me3 ChIP",SRP080870,Control,H3K36me3
46,46,46,SRR3997271,ChIP-Seq,36,2089236564,PRJNA336352,SAMN05509703,1443774672,UACC812,Breast cancer cell line,GEO,"H3K4me1 (Abcam\, ab8895)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998028,GSM2258782,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258782,"UACC812 cells\, H3K4me1 ChIP",SRP080870,Control,H3K4me1
47,47,47,SRR3997273,ChIP-Seq,36,1973101320,PRJNA336352,SAMN05509701,1388792527,UACC812,Breast cancer cell line,GEO,"H3K4me3 (Abcam\, ab8580)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998030,GSM2258784,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258784,"UACC812 cells\, H3K4me3 ChIP",SRP080870,Control,H3K4me3
48,48,48,SRR3997275,ChIP-Seq,36,1988356608,PRJNA336352,SAMN05509699,1421366355,UACC812,Breast cancer cell line,GEO,"H3K79me2 (Abcam\, ab3594)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998032,GSM2258786,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258786,"UACC812 cells\, H3K79me2 ChIP",SRP080870,Control,H3K79me2
49,49,49,SRR3997277,ChIP-Seq,36,1804322160,PRJNA336352,SAMN05509697,1262183393,UACC812,Breast cancer cell line,GEO,"H3K9ac (Millipore\, 07-352\, lot 2090152)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998034,GSM2258788,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258788,"UACC812 cells\, H3K9ac ChIP",SRP080870,Control,H3K9ac
50,50,50,SRR3997279,ChIP-Seq,36,2380297824,PRJNA336352,SAMN05509695,1644398767,UACC812,Breast cancer cell line,GEO,"H3K9me3 (Abcam\, ab8898)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998036,GSM2258790,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258790,"UACC812 cells\, H3K9me3 ChIP",SRP080870,Control,H3K9me3
51,51,51,SRR3997280,ChIP-Seq,36,949706604,PRJNA336352,SAMN05509694,710665414,UACC812,Breast cancer cell line,GEO,"H3K9me3 (Abcam\, ab8898\, lot GR237138-1)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998037,GSM2258791,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258791,"UACC812 cells\, H3K9me3 ChIP",SRP080870,Control,H3K9me3
52,52,52,SRR3997282,ChIP-Seq,36,1122723216,PRJNA336352,SAMN05509692,806034783,UACC812,Breast cancer cell line,GEO,none,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998039,GSM2258793,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258793,"UACC812 cells\, input",SRP080870,Control,Input
53,53,53,SRR3997284,ChIP-Seq,36,1681265340,PRJNA336352,SAMN05509690,1129181948,SKBR3,Breast cancer cell line,GEO,"H3K27ac (Abcam\, ab4729\, lot GR211895-1)",public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1998041,GSM2258795,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2017-12-15T00:00:00Z,GSM2258795,"SKBR3 cells\, H3K27ac ChIP",SRP080870,Control,H3K27ac
